127.0.0.1 - - [27/Feb/2025:13:55:39 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:56:19 +0900] "GET /Portal_Mock/Portal_Fund/gem/ HTTP/1.1" 200 7603
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:56:21 +0900] "POST /Portal_Mock/Portal_Fund/gem/auth/dologin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:56:23 +0900] "GET /Portal_Mock/Portal_Fund/gem/ HTTP/1.1" 200 26676
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:56:24 +0900] "POST /Portal_Mock/Portal_Fund/api/gem/generic/search/list HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:57:29 +0900] "POST /Portal_Mock/Portal_Fund/api/gem/menu/changeRole HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:57:29 +0900] "POST /Portal_Mock/Portal_Fund/gem/index HTTP/1.1" 200 25599
0:0:0:0:0:0:0:1 - - [27/Feb/2025:13:57:30 +0900] "POST /Portal_Mock/Portal_Fund/api/gem/generic/search/list HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:28:31 +0900] "POST /Portal_Mock/Portal_Fund/gem/generic/search/view/mtp.Information HTTP/1.1" 200 83441
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:28:32 +0900] "POST /Portal_Mock/Portal_Fund/api/gem/generic/search/search HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:29:33 +0900] "POST /Portal_Mock/Portal_Fund/gem/generic/detail/view/mtp.Information/INFO-000002 HTTP/1.1" 200 29834
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:29:40 +0900] "POST /Portal_Mock/Portal_Fund/gem/generic/detail/edit/mtp.Information HTTP/1.1" 200 34454
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:31:56 +0900] "POST /Portal_Mock/Portal_Fund/admin/index HTTP/1.1" 200 5941
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:31:56 +0900] "POST /Portal_Mock/admin/mtpadmin/xsrf HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:31:56 +0900] "POST /Portal_Mock/admin/mtpadmin/service/tenant HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:31:56 +0900] "POST /Portal_Mock/admin/mtpadmin/service/screen HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:31:59 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:03 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:07 +0900] "GET /Portal_Mock/admin/mtpadmin/images/cube_green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:07 +0900] "GET /Portal_Mock/admin/mtpadmin/images/database_table.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:07 +0900] "GET /Portal_Mock/admin/mtpadmin/images/application_cascade.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:07 +0900] "GET /Portal_Mock/admin/mtpadmin/images/cube_yellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:07 +0900] "GET /Portal_Mock/admin/mtpadmin/images/cube_blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [27/Feb/2025:14:32:08 +0900] "POST /Portal_Mock/admin/mtpadmin/service/metaData HTTP/1.1" 200 211
